species,latitude,longitude
Ostreopsis ovata,-16.8082,59.5043
Ostreopsis ovata,-0.6625,73.1611
Ostreopsis ovata,35.7444,14.3083
Ostreopsis ovata,33.008,-121.7579
Ostreopsis ovata,-23.2319,-134.9617
Ostreopsis ovata,-17.0248,42.7401
Ostreopsis ovata,-31.027,4.6802
Ostreopsis ovata,-17.0244,42.7415
Ostreopsis ovata,-23.1571,-135.0181
Ostreopsis ovata,-11.9805,-151.1194
Ostreopsis ovata,-23.1107,-134.9326
Ostreopsis ovata,-16.8084,59.5043
Ostreopsis ovata,-12.4,130.768
Ostreopsis ovata,40.4,0.44
Ostreopsis ovata,40.04,0.08
Ostreopsis ovata,38.54,-0.15
Ostreopsis ovata,39.42,-0.33
Ostreopsis ovata,37.97,-0.69
Fenestrulina delicia,53.51979,1.32677
Fenestrulina delicia,53.62425,0.52743
Fenestrulina delicia,53.65156,0.43968
Fenestrulina delicia,55.02561666,-7.54261667
Fenestrulina delicia,53.61488,0.52022
Fenestrulina delicia,53.46482,1.18647
Fenestrulina delicia,53.42336,0.93936
Fenestrulina delicia,53.64945,0.52057
Fenestrulina delicia,53.40362,0.96952
Fenestrulina delicia,53.4619,1.17199
Fenestrulina delicia,53.43599,0.45078
Fenestrulina delicia,53.50575,1.32288
Fenestrulina delicia,53.36739,0.91876
Fenestrulina delicia,53.49822,1.13685
Fenestrulina delicia,53.4584,0.49187
Fenestrulina delicia,53.59871,0.42774
Fenestrulina delicia,53.51205,1.32665
Fenestrulina delicia,53.61811,0.61841
Fenestrulina delicia,51.64723,3.86628
Fenestrulina delicia,54.46217,-5.610661
Fenestrulina delicia,53.3721,0.38047
Fenestrulina delicia,53.40441,0.41563
Fenestrulina delicia,53.48236,1.21352
Fenestrulina delicia,53.30881,0.6358
Fenestrulina delicia,53.51034,1.31375
Fenestrulina delicia,52.8043,1.70504
Fenestrulina delicia,53.30966,0.68576
Fenestrulina delicia,54.8392,-5.796695
Fenestrulina delicia,53.61648,0.47299
Fenestrulina delicia,53.63344,0.42652
Fenestrulina delicia,53.40964,1.13419
Fenestrulina delicia,53.64501,0.61314
Fenestrulina delicia,53.63067,0.37633
Fenestrulina delicia,53.2903,1.65339
Fenestrulina delicia,53.62572,0.47245
Fenestrulina delicia,53.66503,0.42573
Fenestrulina delicia,53.65825,0.55221
Fenestrulina delicia,54.51378333,-5.425306667
Fenestrulina delicia,53.40022,0.58104
Fenestrulina delicia,53.43668,1.09788
Fenestrulina delicia,53.23433,0.58123
Fenestrulina delicia,53.33382,1.79653
Fenestrulina delicia,53.41298,0.60057
Fenestrulina delicia,53.6414,0.44746
Fenestrulina delicia,53.63864,0.39096
Fenestrulina delicia,53.62692,0.59612
Fenestrulina delicia,53.26593,0.61375
Fenestrulina delicia,53.65477,0.58636
Fenestrulina delicia,53.42836,0.59649
Fenestrulina delicia,53.6778,1.67129
Fenestrulina delicia,53.45286,1.1883
Fenestrulina delicia,53.41967,0.72776
Fenestrulina delicia,53.43977,0.73086
Fenestrulina delicia,53.51812,1.31773
Fenestrulina delicia,53.34916,0.56388
Fenestrulina delicia,53.32448,0.48238
Fenestrulina delicia,53.49445,1.8629
Fenestrulina delicia,53.62466,0.40423
Fenestrulina delicia,53.46428,1.15689
Fenestrulina delicia,50.29512,0.26921
Fenestrulina delicia,53.62445,0.35968
Fenestrulina delicia,53.62641,0.56965
Fenestrulina delicia,53.67284,0.53657
Fenestrulina delicia,53.39613,1.14271
Fenestrulina delicia,53.62306,0.42652
Fenestrulina delicia,53.43752,0.31632
Fenestrulina delicia,53.37453,0.46393
Fenestrulina delicia,53.38734,0.87621
Fenestrulina delicia,53.33277,0.57337
Fenestrulina delicia,53.43016,1.2053
Fenestrulina delicia,53.58768,0.56964
Fenestrulina delicia,51.2438,3.22091
Fenestrulina delicia,58.87767,11.11181
Fenestrulina delicia,51.84,3.94
Fenestrulina delicia,51.525,4.078
Fenestrulina delicia,53.025,4.709
Fenestrulina delicia,51.59,3.66
Fenestrulina delicia,52.61,4.61
Fenestrulina delicia,51.94,3.96
Fenestrulina delicia,51.778,3.864
Fenestrulina delicia,52.64,4.62
Fenestrulina delicia,51.83,3.94
Fenestrulina delicia,52.81,4.68
Fenestrulina delicia,54.513783,-5.425307
Fenestrulina delicia,47.499634,-3.117199
Fenestrulina delicia,47.500587,-3.117692
Fenestrulina delicia,54.513787,-5.425299
Fenestrulina delicia,54.83915,-5.795667
Fenestrulina delicia,54.46206,-5.609617
Fenestrulina delicia,45.00401,-66.91428
Fenestrulina delicia,51.25547,2.97065
Fenestrulina delicia,51.16535,2.7557
Fenestrulina delicia,51.22759,2.90128
Herdmania momus,56.90155,9.05516667
Herdmania momus,34.285,135.068
Herdmania momus,35.343153,25.136605
Herdmania momus,21.3141,-157.886
Herdmania momus,-38.302,144.659
Herdmania momus,34.3315,135.1535
Herdmania momus,34.323,135.116
Herdmania momus,-38.28,144.625
Herdmania momus,36.12571,29.57889
Herdmania momus,26.637299,127.866674
Herdmania momus,34.265,135.061
Herdmania momus,21.3109,-157.873
Herdmania momus,-36.4294,150.084
Herdmania momus,-38.677,145.617
Herdmania momus,34.3075,135.0775
Herdmania momus,31.208182,29.894361
Herdmania momus,-38.304,144.659
Herdmania momus,-38.317,144.717
Herdmania momus,21.32136,-157.967262
Herdmania momus,21.3197,-157.894
Herdmania momus,21.3092,-157.87
Herdmania momus,36.12573,29.57882
Herdmania momus,-38.277,144.698
Herdmania momus,36.42817,28.23409
Herdmania momus,35.34662,25.27876
Herdmania momus,34.315,135.095
Herdmania momus,-19.06999969,158.5200043
Herdmania momus,21.324878,-157.967262
Herdmania momus,-37.0473,149.90601
Herdmania momus,36.42898,28.23499
Herdmania momus,-20.40999985,161.0800018
Herdmania momus,21.3069,-157.872
Herdmania momus,-38.29,144.63
Herdmania momus,21.3181,-157.907
Herdmania momus,21.306,-157.865
Herdmania momus,-38.29,144.623
Herdmania momus,21.3091,-157.865
Herdmania momus,-22.98999977,165.9799957
Herdmania momus,-19.09000015,158.4400024
Herdmania momus,33.69725,135.3623889
Herdmania momus,-36.4295,150.084
Herdmania momus,-38.29,144.62
Herdmania momus,21.3168,-157.877
Herdmania momus,-38.294,144.598
Herdmania momus,-36.5078,150.062
Herdmania momus,-38.29,144.589
Herdmania momus,21.3168,-157.881
Herdmania momus,21.3108,-157.865
Herdmania momus,36.14589,29.60697
Herdmania momus,26.994,-79.859
Herdmania momus,35.18587,25.7175
Herdmania momus,-38.297,144.613
Herdmania momus,34.93173,24.95315
Herdmania momus,36.14697,29.60396
Herdmania momus,-38.664,145.683
Herdmania momus,-38.275,144.655
Herdmania momus,21.2915,-157.866
Herdmania momus,-35.36775,118.3
Herdmania momus,21.3022,-157.869
Herdmania momus,-38.68,145.61
Herdmania momus,-22.42000008,166.3500061
Herdmania momus,-35.07015,115.342
Herdmania momus,21.3106,-157.867
Herdmania momus,21.3154,-157.887
Herdmania momus,21.2934,-157.858
Herdmania momus,-35.20875,118.66
Herdmania momus,-38.307,144.801
Herdmania momus,21.3038,-157.864
Herdmania momus,21.305,-157.865
Herdmania momus,36.44104,28.2354
Herdmania momus,21.3117,-157.919
Herdmania momus,-36.7375,149.98399
Herdmania momus,21.3173,-157.883
Herdmania momus,35.18582,25.71609
Herdmania momus,35.343,25.136
Herdmania momus,-36.725277,149.98862
Herdmania momus,21.478039,-157.825346
Herdmania momus,21.282512,-157.84514
Herdmania momus,21.289032,-157.86109
Herdmania momus,21.282791,-157.845047
Herdmania momus,21.287214,-157.849158
Herdmania momus,1.615297,124.744648
Herdmania momus,37.544711,22.820038
Herdmania momus,21.29309,-157.858539
Herdmania momus,56.90155,9.055167
Herdmania momus,-26.789915,153.143865
Herdmania momus,-26.802701,153.146104
Herdmania momus,-30.110751,153.210871
Herdmania momus,22.543,114.439
Herdmania momus,22.501,114.356
Herdmania momus,22.4373,114.221
Herdmania momus,20.682015,-156.44384
Herdmania momus,20.80855,-156.623642
Herdmania momus,20.898101,-156.475653
Herdmania momus,20.780739,-156.462305
Herdmania momus,-17.166142,177.209763
Herdmania momus,13.514407,120.961591
Herdmania momus,-30.205483,153.26693
Herdmania momus,34.99957,34.06691
Herdmania momus,14.75918,-61.18816
Herdmania momus,14.78133,-61.21461
Herdmania momus,36.16142,29.6285
Herdmania momus,14.49173,-61.08306
Herdmania momus,14.49162,-61.08895
Herdmania momus,36.15855,29.63173
Herdmania momus,36.18338,29.64255
Herdmania momus,36.151,29.65362
Herdmania momus,14.54341,-61.07979
Herdmania momus,36.19647,29.61355
Herdmania momus,36.18872,29.61007
Herdmania momus,43.50449,3.89671
Herdmania momus,15.44242,-61.46002
